titletext,PMID
"Biologically Informed Neural Networks Predict Drug Responses.. Deep neural networks often achieve high predictive accuracy on biological problems, but it can be hard to contextualize how and explain why predictions are made. In this issue, Kuenzi et al. model the sensitivity of cancers to drugs using deep neural networks with a hierarchical structure derived from the Gene Ontology.",33096022
"Letter to the Editor. Reply to Ahn JC, Connell A, Simonetto DA, Hughes C, Shah VH. The application of artificial intelligence for the diagnosis and treatment of liver diseases.. among the forthcoming articles to be published in Hepatology, I noticed the extensive review by Ahn, Connell, Simonetto, Hughes & Shah concerning ""The application of artificial intelligence for the diagnosis and treatment of liver diseases"" [1]. As a bioethicist, I need to raise some concern about the perspective given by this review, which disregards some important issues concerning ethical aspects and patient-physician relationship.",33185298
"Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension.. The CONSORT 2010 statement provides minimum guidelines for reporting randomized trials. Its widespread use has been instrumental in ensuring transparency in the evaluation of new interventions. More recently, there has been a growing recognition that interventions involving artificial intelligence (AI) need to undergo rigorous, prospective evaluation to demonstrate impact on health outcomes. The CONSORT-AI (Consolidated Standards of Reporting Trials-Artificial Intelligence) extension is a new reporting guideline for clinical trials evaluating interventions with an AI component. It was developed in parallel with its companion statement for clinical trial protocols: SPIRIT-AI (Standard Protocol Items: Recommendations for Interventional Trials-Artificial Intelligence). Both guidelines were developed through a staged consensus process involving literature review and expert consultation to generate 29 candidate items, which were assessed by an international multi-stakeholder group in a two-stage Delphi survey (103 stakeholders), agreed upon in a two-day consensus meeting (31 stakeholders) and refined through a checklist pilot (34 participants). The CONSORT-AI extension includes 14 new items that were considered sufficiently important for AI interventions that they should be routinely reported in addition to the core CONSORT 2010 items. CONSORT-AI recommends that investigators provide clear descriptions of the AI intervention, including instructions and skills required for use, the setting in which the AI intervention is integrated, the handling of inputs and outputs of the AI intervention, the human-AI interaction and provision of an analysis of error cases. CONSORT-AI will help promote transparency and completeness in reporting clinical trials for AI interventions. It will assist editors and peer reviewers, as well as the general readership, to understand, interpret and critically appraise the quality of clinical trial design and risk of bias in the reported outcomes.",32908283
"Integration of novel monitoring devices with machine learning technology for scalable cardiovascular management.. Ambulatory monitoring is increasingly important for cardiovascular care but is often limited by the unpredictability of cardiovascular events, the intermittent nature of ambulatory monitors and the variable clinical significance of recorded data in patients. Technological advances in computing have led to the introduction of novel physiological biosignals that can increase the frequency at which abnormalities in cardiovascular parameters can be detected, making expert-level, automated diagnosis a reality. However, use of these biosignals for diagnosis also raises numerous concerns related to accuracy and actionability within clinical guidelines, in addition to medico-legal and ethical issues. Analytical methods such as machine learning can potentially increase the accuracy and improve the actionability of device-based diagnoses. Coupled with interoperability of data to widen access to all stakeholders, seamless connectivity (an internet of things) and maintenance of anonymity, this approach could ultimately facilitate near-real-time diagnosis and therapy. These tools are increasingly recognized by regulatory agencies and professional medical societies, but several technical and ethical issues remain. In this Review, we describe the current state of cardiovascular monitoring along the continuum from biosignal acquisition to the identification of novel biosensors and the development of analytical techniques and ultimately to regulatory and ethical issues. Furthermore, we outline new paradigms for cardiovascular monitoring.",33037325
"Artificial Intelligence for Surgical Safety: Automatic Assessment of the Critical View of Safety in Laparoscopic Cholecystectomy Using Deep Learning.. Objective: To develop a deep learning model to automatically segment hepatocystic anatomy and assess the criteria defining the critical view of safety (CVS) in laparoscopic cholecystectomy (LC).  Background: Poor implementation and subjective interpretation of CVS contributes to the stable rates of bile duct injuries in LC. As CVS is assessed visually, this task can be automated by using computer vision, an area of artificial intelligence aimed at interpreting images.  Methods: Still images from LC videos were annotated with CVS criteria and hepatocystic anatomy segmentation. A deep neural network comprising a segmentation model to highlight hepatocystic anatomy and a classification model to predict CVS criteria achievement was trained and tested using 5-fold cross validation. Intersection over union, average precision, and balanced accuracy were computed to evaluate the model performance versus the annotated ground truth.  Results: A total of 2854 images from 201 LC videos were annotated and 402 images were further segmented. Mean intersection over union for segmentation was 66.6%. The model assessed the achievement of CVS criteria with a mean average precision and balanced accuracy of 71.9% and 71.4%, respectively.  Conclusions: Deep learning algorithms can be trained to reliably segment hepatocystic anatomy and assess CVS criteria in still laparoscopic images. Surgical-technical partnerships should be encouraged to develop and evaluate deep learning models to improve surgical safety.",33201104
"Detecting Large Vessel Occlusion at Multiphase CT Angiography by Using a Deep Convolutional Neural Network.. Background Large vessel occlusion (LVO) stroke is one of the most time-sensitive diagnoses in medicine and requires emergent endovascular therapy to reduce morbidity and mortality. Leveraging recent advances in deep learning may facilitate rapid detection and reduce time to treatment. Purpose To develop a convolutional neural network to detect LVOs at multiphase CT angiography. Materials and Methods This multicenter retrospective study evaluated 540 adults with CT angiography examinations for suspected acute ischemic stroke from February 2017 to June 2018. Examinations positive for LVO (n = 270) were confirmed by catheter angiography and LVO-negative examinations (n = 270) were confirmed through review of clinical and radiology reports. Preprocessing of the CT angiography examinations included vasculature segmentation and the creation of maximum intensity projection images to emphasize the contrast agent-enhanced vasculature. Seven experiments were performed by using combinations of the three phases (arterial, phase 1; peak venous, phase 2; and late venous, phase 3) of the CT angiography. Model performance was evaluated on the held-out test set. Metrics included area under the receiver operating characteristic curve (AUC), sensitivity, and specificity. Results The test set included 62 patients (mean age, 69.5 years; 48% women). Single-phase CT angiography achieved an AUC of 0.74 (95% confidence interval [CI]: 0.63, 0.85) with sensitivity of 77% (24 of 31; 95% CI: 59%, 89%) and specificity of 71% (22 of 31; 95% CI: 53%, 84%). Phases 1, 2, and 3 together achieved an AUC of 0.89 (95% CI: 0.81, 0.96), sensitivity of 100% (31 of 31; 95% CI: 99%, 100%), and specificity of 77% (24 of 31; 95% CI: 59%, 89%), a statistically significant improvement relative to single-phase CT angiography (P = .01). Likewise, phases 1 and 3 and phases 2 and 3 also demonstrated improved fit relative to single phase (P = .03). Conclusion This deep learning model was able to detect the presence of large vessel occlusion and its diagnostic performance was enhanced by using delayed phases at multiphase CT angiography examinations. © RSNA, 2020 Online supplemental material is available for this article. See also the editorial by Ospel and Goyal in this issue.",32990513
"Geographic Distribution of US Cohorts Used to Train Deep Learning Algorithms.. This study describes the US geographic distribution of patient cohorts used to train deep learning algorithms in published radiology, ophthalmology, dermatology, pathology, gastroenterology, and cardiology machine learning articles published in 2015-2019.",32960230
"Diagnosis of COVID-19 Pneumonia Using Chest Radiography: Value of Artificial Intelligence.. Background Radiologists are proficient in differentiating between chest x-ray radiographs (CXRs) with and without symptoms of pneumonia, but have found it more challenging to differentiate CXRs with COVID-19 pneumonia symptoms from those without. Purpose To develop an artificial intelligence algorithm to differentiate COVID-19 pneumonia from other causes of CXR abnormalities. Materials and Methods In this retrospective study, a deep neural network, CV19-Net, was trained, validated, and tested on CXRs from patients with and without COVID-19 pneumonia. For the COVID-19 positive CXRs, patients with reverse transcriptase polymerase chain reaction positive results for severe acute respiratory syndrome coronavirus 2 with positive pneumonia findings between February 1, 2020 and May 30, 2020 were included. For the non-COVID-19 CXRs, patients with pneumonia who underwent CXR between October 1, 2019 and December 31, 2019 were included. Area under the receiver operating characteristic curve (AUC), sensitivity, and specificity were calculated to characterize diagnostic performance. To benchmark the performance of CV19-Net, a randomly sampled test dataset containing 500 CXRs from 500 patients was evaluated by both the CV19-Net and three experienced thoracic radiologists. Results A total of 2060 patients (5806 CXRs; mean age 62 ± 16, 1059 men) with COVID-19 pneumonia and 3148 patients (5300 CXRs; mean age 64 ± 18, 1578 men) with non-COVID-19 pneumonia were included and split into training + validation and test datasets. For the test set, CV19-Net achieved an AUC of 0.92 (95% confidence interval [CI]: 0.91, 0.93) corresponding to a sensitivity of 88% (95% CI: 87%, 89%) and a specificity of 79% (95% CI: 77%, 80%) using a high sensitivity operating threshold, or a sensitivity of 78% (95% CI: 77%, 79%) and a specificity of 89% (95% CI: 88%, 90%) using a high specificity operating threshold. For the 500 sampled CXRs, CV19-Net achieved an AUC of 0.94 (95% CI: 0.93, 0.96) compared to a 0.85 AUC (95% CI: 0.81, 0.88) of radiologists. Conclusion CV19-Net was able to differentiate COVID-19 related pneumonia from other types of pneumonia with performance exceeding that of experienced thoracic radiologists.",32969761
"The toll of noninfected CRS patients to the COVID-19 pandemic.. Social distancing with the aim of avoiding infections and pre-serve critical care capacities during the COVID-19 pandemic has been implemented in Germany according to World Health Organization (WHO) recommendations from early March onwards. Limitations of physical contacts to reduce exposure to SARS-CoV-2 infected individuals were handled strictly, particularly in medical centers dealing with airway diseases, like rhinology and pneumology clinics. Such measures and reluctance to visit out- and inpatient services resulted in a 82% decrease in consultations to the 12 German oto-rhino-laryngological (ORL) centres forming our database during the 50 days following March 09 in 2020 if compared to the same period in 2019. Our data on CRS care underline reports on undertreatment of non-COVID-19 individuals with several different diseases during the current pandemic. We should try to reduce the toll these patients have to pay as much as possible. We established telemedicine, e-Health and artificial intelligence-supported triage for selecting the right patients for onsite-consultations and to advise patients in several demands.",33130830
"Eigenrank by committee: Von-Neumann entropy based data subset selection and failure prediction for deep learning based medical image segmentation.. Manual delineation of anatomy on existing images is the basis of developing deep learning algorithms for medical image segmentation. However, manual segmentation is tedious. It is also expensive because clinician effort is necessary to ensure correctness of delineation. Consequently most algorithm development is based on a tiny fraction of the vast amount of imaging data collected at a medical center. Thus, selection of a subset of images from hospital databases for manual delineation - so that algorithms trained on such data are accurate and tolerant to variation, becomes an important challenge. We address this challenge using a novel algorithm. The proposed algorithm named 'Eigenrank by Committee' (EBC) first computes the degree of disagreement between segmentations generated by each DL model in a committee. Then, it iteratively adds to the committee, a DL model trained on cases where the disagreement is maximal. The disagreement between segmentations is quantified by the maximum eigenvalue of a Dice coefficient disagreement matrix a measure closely related to the Von Neumann entropy. We use EBC for selecting data subsets for manual labeling from a larger database of spinal canal segmentations as well as intervertebral disk segmentations. U-Nets trained on these subsets are used to generate segmentations on the remaining data. Similar sized data subsets are also randomly sampled from the respective databases, and U-Nets are trained on these random subsets as well. We found that U-Nets trained using data subsets selected by EBC, generate segmentations with higher average Dice coefficients on the rest of the database than U-Nets trained using random sampling (p < 0.05 using t-tests comparing averages). Furthermore, U-Nets trained using data subsets selected by EBC generate segmentations with a distribution of Dice coefficients that demonstrate significantly (p < 0.05 using Bartlett's test) lower variance in comparison to U-Nets trained using random sampling for all datasets. We believe that this lower variance indicates that U-Nets trained with EBC are more robust than U-Nets trained with random sampling.",33080506
"A machine learning analysis of a ""normal-like"" IDH-WT diffuse glioma transcriptomic subgroup associated with prolonged survival reveals novel immune and neurotransmitter-related actionable targets.. Background: Classification of primary central nervous system tumors according to the World Health Organization guidelines follows the integration of histologic interpretation with molecular information and aims at providing the most precise prognosis and optimal patient management. According to the cIMPACT-NOW update 3, diffuse isocitrate dehydrogenase-wild type (IDH-WT) gliomas should be graded as grade IV glioblastomas (GBM) if they possess one or more of the following molecular markers that predict aggressive clinical course: EGFR amplification, TERT promoter mutation, and whole-chromosome 7 gain combined with chromosome 10 loss. Methods: The Cancer Genome Atlas (TCGA) glioma expression datasets were reanalyzed in order to identify novel tumor subcategories which would be considered as GBM-equivalents with the current diagnostic algorithm. Unsupervised clustering allowed the identification of previously unrecognized transcriptomic subcategories. A supervised machine learning algorithm (k-nearest neighbor model) was also used to identify gene signatures specific to some of these subcategories. Results: We identified 14 IDH-WT infiltrating gliomas displaying a ""normal-like"" (NL) transcriptomic profile associated with a longer survival. Genes such as C5AR1 (complement receptor), SLC32A1 (vesicular gamma-aminobutyric acid transporter), MSR1 (or CD204, scavenger receptor A), and SYT5 (synaptotagmin 5) were differentially expressed and comprised in gene signatures specific to NL IDH-WT gliomas which were validated further using the Chinese Glioma Genome Atlas datasets. These gene signatures showed high discriminative power and correlation with survival. Conclusion: NL IDH-WT gliomas represent an infiltrating glioma subcategory with a superior prognosis which can only be detected using genome-wide analysis. Differential expression of genes potentially involved in immune checkpoint and amino acid signaling pathways is providing insight into mechanisms of gliomagenesis and could pave the way to novel treatment targets for infiltrating gliomas. Keywords: Amino acid neurotransmission; Biomarkers; C5AR1; Glioma; IDH-WT; MSR1; SLC32A1; SYT5; Transcriptomic; Tumor immune checkpoints.",33059718
"Apo AI Nanoparticles Delivered Post Myocardial Infarction Moderate Inflammation.. Rationale: Decades of research have examined immune-modulatory strategies to protect the heart after an acute myocardial infarction and prevent progression to heart failure but have failed to translate to clinical benefit. Objective: To determine anti-inflammatory actions of n-apo AI (Apo AI nanoparticles) that contribute to cardiac tissue recovery after myocardial infarction. Methods and results: Using a preclinical mouse model of myocardial infarction, we demonstrate that a single intravenous bolus of n-apo AI (CSL111, 80 mg/kg) delivered immediately after reperfusion reduced the systemic and cardiac inflammatory response. N-apo AI treatment lowered the number of circulating leukocytes by 30±7% and their recruitment into the ischemic heart by 25±10% (all P<5.0×10-2). This was associated with a reduction in plasma levels of the clinical biomarker of cardiac injury, cardiac troponin-I, by 52±17% (P=1.01×10-2). N-apo AI reduced the cardiac expression of chemokines that attract neutrophils and monocytes by 60% to 80% and lowered surface expression of integrin CD11b on monocytes by 20±5% (all P<5.0×10-2). Fluorescently labeled n-apo AI entered the infarct and peri-infarct regions and colocalized with cardiomyocytes undergoing apoptosis and with leukocytes. We further demonstrate that n-apo AI binds to neutrophils and monocytes, with preferential binding to the proinflammatory monocyte subtype and partially via SR-BI (scavenger receptor BI). In patients with type 2 diabetes, we also observed that intravenous infusion of the same n-apo AI (CSL111, 80 mg/kg) similarly reduced the level of circulating leukocytes by 12±5% (all P<5.0×10-2). Conclusions: A single intravenous bolus of n-apo AI delivered immediately post-myocardial infarction reduced the systemic and cardiac inflammatory response through direct actions on both the ischemic myocardium and leukocytes. These data highlight the anti-inflammatory effects of n-apo AI and provide preclinical support for investigation of its use for management of acute coronary syndromes in the setting of primary percutaneous coronary interventions. Keywords: apolipoprotein; inflammation; monocyte; myocardial infarction; percutaneous coronary interventions.",32951519
